Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,ER_at_-2V_dB,ER_at_0V_dB,FWHM_nm,Q_factor,Centre_nm,Score_Vpi_V,Score_ER_at_-2V_dB,Score_PeakIL_dB,Score_I_at_-1V_pA,Score_Q_factor,Score_FSR_nm,EfficiencyScore
D23,20190603_204847,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.779600000000073,1307.7653,-118.58857142852096,-9.607523918151855,-9.607523918151855,220654.9,435580.0,False,41.23331566522289,1.5668659952784698,29.27384376525879,27.668540954589844,4.770773291846581,275.1420408601994,1312.6403,0.13748357853302456,0.4241743481437485,0.4460285374313166,0.24296427189563746,0.8986347654536152,0.009863545547085012,0.33764879044035256
D23,20190603_204847,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.92470000000003,1314.8851,-147.3028571428275,-8.078666162490846,-8.078666162490846,133723.3,259399.30000000002,False,33.688077042446174,1.2801469276129547,27.968903064727783,33.53519582748413,4.896199466256121,267.52986863127114,1309.8796,0.5458861381372968,0.33713034645383483,0.7307468137219484,0.5448899743269481,0.7822818063443558,0.04091921352752634,0.5155963771150033
D23,20190603_204847,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.851100000000088,1307.2708,-112.53714285685426,-9.891438484191895,-9.891438484191895,189391.19999999998,372535.5,False,43.768216208094756,1.6631922159076007,22.62735366821289,22.860751152038574,4.556903572892679,288.05977107098084,1312.6606,0.000276536872870315,0.0,0.3931552955895516,0.35154750955722164,1.0,0.02516664865254793,0.22338358566204267
D23,20190603_204847,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.740599999999858,1313.0237,-139.9828571426891,-7.410173416137695,-7.410173416137695,173540.30000000002,340431.0,False,34.792117402172124,1.3221004612825407,34.14298439025879,34.41890573501587,4.791795765511324,273.0564623428561,1308.4308,0.4861275365395428,0.7489626581554316,0.855239822799937,0.4065999199197187,0.8667564494289971,0.0015163983986064547,0.5938317539708059
D23,20190603_204847,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.744300000000067,1310.4999,-147.7999999996568,-7.902754926681519,-7.902754926681519,143576.6,279372.8,False,32.96447902578719,1.2526502029799134,31.35348606109619,30.66388988494873,4.699138028028983,277.8610230667493,1305.7073,0.5850524649962012,0.5628935921980002,0.7635066592041932,0.5106680743070884,0.940194732304502,0.0023083072306817796,0.5918400377250966
D23,20190603_204847,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.697799999999916,1309.3776,-136.58857142830055,-10.18035888671875,-10.18035888671875,199683.8,393715.4,False,35.50004183582293,1.3490015897612713,29.093727111816406,29.526951789855957,5.000371725327341,262.90221451764995,1314.6088,0.44780957667586996,0.41215995217905776,0.33934981977726725,0.31579985870477545,0.7115475620759797,0.0,0.4003954713569413
D23,20190603_204847,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.890299999999797,1313.3509,-135.73142857132336,-8.143417739868164,-8.143417739868164,175898.19999999998,345184.80000000005,False,36.43334526167865,1.3844671199437888,33.264708518981934,32.92054557800293,4.6475878860312605,281.6815156814432,1309.1396,0.39729248542625706,0.6903786578307237,0.7186881657347792,0.39841060080258783,0.9985914169309211,0.03355660168373089,0.5500701611371887
D23,20190603_204847,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.946099999999888,1314.89,-125.83428571430686,-6.889528274536133,-6.889528274536133,238917.8,473359.0,False,39.52062803686681,1.5017838654009388,31.884392738342285,31.435407161712646,5.004142104653738,261.87937364554097,1310.4816,0.23018654608553166,0.5983068808574702,0.9521992598221194,0.17953464548898235,0.6959133175280826,0.04549944298843071,0.4495188190235034
D23,20190603_204847,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.834299999999985,1313.7595,-134.9314285710538,-7.092537927627563,-7.092537927627563,170937.6,335297.8,False,36.441843476152485,1.3847900520937944,34.018850326538086,33.5744514465332,4.724855704570473,277.06270452528156,1309.0813,0.39683250096231953,0.7406824921311181,0.9143928921044367,0.41563946394879414,0.9279923383204874,0.021570954496277998,0.5839260484686003
D23,20190603_204847,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.969499999999925,1305.037,-118.97714285673716,-7.132037162780762,-7.132037162780762,188534.8,370558.5,False,41.896702848228614,1.5920747082326874,27.071363925933838,32.08413743972778,4.983744128651551,262.9409468408167,1310.4304,0.10157629486801818,0.2772614203929394,0.9070369728856769,0.3545219074926349,0.7121395902485034,0.050507731277498386,0.36147587541168646
